region,term,stem,count
,lawsuit,lawsuit,3
East Asia,chinese,chines,3
,stemming,stem,3
,pop,pop,3
,speaks,speak,3
,cop,cop,3
,patriot,patriot,3
,shelling,shell,3
,collapse,collaps,3
,syed,sy,3
North America,ohio,ohio,3
,thursday's,thursday,3
,bakr,bakr,3
,climate,climat,3
,gunman,gunman,3
,describing,describ,3
,fox,fox,3
,referring,refer,3
,pending,pend,3
,ali,ali,3
,people's,peopl,3
,google,googl,3
,los,los,3
,camps,camp,3
,afp,afp,3
,shocked,shock,3
,outrages,outrag,3
,inciting,incit,3
,initially,initi,3
,overthrow,overthrow,3
,icons,icon,3
,governance,govern,3
,deleted,delet,3
,invasion,invas,3
,ostentatiously,ostentati,3
,reiterated,reiter,3
,database,databas,3
,god,god,3
,dismissed,dismiss,3
,cia,cia,3
,vigilant,vigil,3
,presumptive,presumpt,3
,administration's,administr,3
,november's,novemb,3
,confront,confront,3
,farbrace,farbrac,3
,jack,jack,3
Sub-saharan Africa,somalia,somalia,3
,highlights,highlight,3
,exit,exit,3
,checks,check,3
,bruce,bruce,3
,rudy,rudi,3
,youtube,youtub,3
,bloodshed,bloodsh,3
,provoked,provok,3
,reaffirming,reaffirm,3
,borders,border,3
,angeles,angel,3
,al-sham,al-sham,3
,deployed,deploy,3
,urging,urg,3
,u-turns,u-turn,3
,argues,argu,3
,smith,smith,3
,followers,follow,3
South Asia,bangladesh,bangladesh,3
,hostile,hostil,3
,al-islam,al-islam,3
